algorithm,input_type,n,time_ns,max_depth,comparisons
MergeSort,random,100,647100,4,649
MergeSort,sorted,100,35700,4,244
MergeSort,reverse,100,66400,4,724
MergeSort,duplicates,100,55800,4,628
QuickSort,random,100,1009800,4,649
QuickSort,sorted,100,50200,4,693
QuickSort,reverse,100,43700,4,540
QuickSort,duplicates,100,101800,3,1055
DeterministicSelect,random,100,756500,7,438
DeterministicSelect,sorted,100,88700,9,697
DeterministicSelect,reverse,100,113000,9,868
DeterministicSelect,duplicates,100,35500,7,435
ClosestPair,random,100,5706300,7,130
MergeSort,random,1000,686600,7,10423
MergeSort,sorted,1000,373800,7,3956
MergeSort,reverse,1000,329200,7,10300
MergeSort,duplicates,1000,135900,7,9898
QuickSort,random,1000,265400,6,10527
QuickSort,sorted,1000,240700,6,10429
QuickSort,reverse,1000,177800,6,11962
QuickSort,duplicates,1000,416800,3,54106
DeterministicSelect,random,1000,553100,12,9555
DeterministicSelect,sorted,1000,285500,12,8017
DeterministicSelect,reverse,1000,437300,12,9068
DeterministicSelect,duplicates,1000,69900,10,4344
ClosestPair,random,1000,4554300,10,1157
MergeSort,random,10000,1973000,11,127033
MergeSort,sorted,10000,1110800,11,59248
MergeSort,reverse,10000,1284800,11,93648
MergeSort,duplicates,10000,1494000,11,121548
QuickSort,random,10000,894600,9,156225
QuickSort,sorted,10000,679900,8,157643
QuickSort,reverse,10000,756900,8,153125
QuickSort,duplicates,10000,4972000,3,5060574
DeterministicSelect,random,10000,2363500,15,97252
DeterministicSelect,sorted,10000,820500,15,85250
DeterministicSelect,reverse,10000,841000,15,94486
DeterministicSelect,duplicates,10000,411400,12,38519
ClosestPair,random,10000,33883800,13,12975
